page,feature_name,context,word_count,has_thai_music,has_jazz,has_ml_terms,has_fusion
1,cross_cultural,Jazz Orchestra Portraits of Thailand:  Exploring Hybridizations of Thai Music  Traditions with Jazz        BY  TANARAT CHAICHANA    A THESIS SUBMITTED TO THE VICTORIA UNIVERSITY OF  WELLINGTON IN FULFILMEN,42,True,True,False,True
3,cross_cultural,iii  ABSTRACT    Jazz Orchestra Portraits of Thailand:   Exploring hybridizations of Thai music traditions with jazz  By TANARAT CHAICHANA      The objective of this dissertation is to document and critically reflect upon t,423,True,True,False,True
6,cross_cultural,1                    1.2 HISTORICAL PRECEDENTS FOR CROSS-CULTURAL JAZZ COMPOSITIONS                         2     1.3 RESEARCH METHODOLOGY,172,True,True,False,True
7,rhythm,125  MUSICAL INSTRUMENTS AND TEXTURE                                                                                                 128  RHYTHMIC PATTERNS                                                                                                                                  130  RONG NGENG COM,192,False,False,False,False
7,khaen,80  4.2 PITCH AND INSTRUMENTS    KHAEN   82  PHIN  84  PONG LANG,192,False,False,False,False
9,thai_mode,ure 3.7: Plae thamnong techniques.                                                                        57  Figure 3.8: Plae thamnong techniques of thang ranad and pi nai.                            58                              Figure 3.9: Jangwa ching patterns.,271,False,False,False,False
9,khaen,thao                                     75  Figure 3.26: Thai compositional techniques employed in “Nanapa.”                      76    Figure 4.1: Khaen paet’s fingering.                                                                                       83  Figure 4.2: “Lai Ka Ten Kon.”,271,False,False,False,False
10,rhythm,104    Figure 5.1: Khuen hua pi technique.                                                                          114  Figure 5.2: Four rhythmic patterns employed in nora performances.                     118   Figure 5.3: “Chak bai.”,231,False,True,False,False
10,thai_mode,TABLE OF FIGURES      x  Figure 4.6: Lai thang yao and lai thang san.                                                               91  Figure 4.7: Buahong Phajung’s performance of lai se.,231,False,True,False,False
10,improvisation,91  Figure 4.7: Buahong Phajung’s performance of lai se.                                              93  Figure 4.8: Bass improvisation of lai yai by the author.                                             95  Figure 4.9: The A section of “Lai Teay Khong.”,231,False,True,False,False
