page,text,word_count,char_count
1," 
 
 
 
 
Jazz Orchestra Portraits of Thailand: 
Exploring Hybridizations of Thai Music 
Traditions with Jazz 
 
 
 
BY 
TANARAT CHAICHANA 
 
A THESIS SUBMITTED TO THE VICTORIA UNIVERSITY OF 
WELLINGTON IN FULFILMENT OF THE REQUIREMENTS FOR 
THE DEGREE OF  
DOCTOR OF PHILOSOPHY 
 
 
 
 
 
Victoria University of Wellington  
2022 
 
",42,334
2," 
 
 
ii 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
“People are different, the cosmopolitan knows, and there is much to learn from our differences. Because there 
are so many human possibilities worth exploring, we neither expect nor desire that every person or every society 
should converge on a single mode of life. Whatever our obligations are to others (or theirs to us) they often 
have the right to go their own way. As we will see, there are times when these two ideals—universal concern 
and respect for legitimate difference—clash.” 
Kwame Anthony Appiah 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",84,608
3," 
 
 
iii 
ABSTRACT 
 
Jazz Orchestra Portraits of Thailand: 
 Exploring hybridizations of Thai music traditions with jazz 
By TANARAT CHAICHANA 
 
 
The objective of this dissertation is to document and critically reflect upon the creation of a 
collection of original works for contemporary jazz orchestra inspired by traditional Thai 
music, following extensive research on Thai music from the perspective of a jazz composer. 
This research, including the musical works, comprises a case study of the musical 
hybridization of Thai music and jazz that can be utilized in both Thai music studies and jazz 
research settings. Despite the increasing interest in Thai-Western musical integration among 
Thai classical composers and ethnomusicologists, no extensive studies have yet explored the 
integration of Thai music with jazz in the context of the contemporary jazz orchestra. 
Furthermore, while some musical traditions, such as those of South Asia and of the Arab 
world, have long been combined with jazz, there have been few such explorations of fusing 
jazz with Thai music traditions.  
 
Unlike previous Thai musical hybridity projects or cross-cultural Thai musical composition 
studies, this research project considers four regional Thai music practices instead of assuming 
the existence of a single “traditional music of Thailand.” I approach such musical practices 
from a jazz composition perspective in this study. In my research methods I identified and 
described their key elements, including fundamental structures, performance methods, and 
idiomatic instruments. I then transcribed performances by prominent Thai musicians 
working in these traditions into Western notation. After that, I experimentally integrated 
such musical elements into jazz compositions and created prototypes before composing 
works for full jazz orchestra. Inspired by the practice of cultural cosmopolitanism in Thailand 
and the openness to foreign cultures witnessed in Thai musical traditions, I also incorporated 
other musical techniques beyond jazz, including elements of rock, hip hop, R&B, and 
electronica, into my contemporary jazz orchestra writing process to produce a unique 
creative output for the study.  
The creative outcome of this research, Jazz Orchestra Portraits of Thailand, consists of seven 
original jazz orchestra compositions totaling 67 minutes. The compositions demonstrate 
musical hybridity in the ways the characteristics of Thai music combine with contemporary 
jazz musical elements to produce new styles. In my critical analysis of these works, I begin 
with general observations on compositional approach and an extensive theoretical analysis 
from the perspective of jazz composition. I go on to comprehensively examine the Thai 
elements that are infused, transformed, or otherwise present in the pieces, and then analyze 
the compositional techniques employed in my musical hybridizations, discussing some of the 
inspirations behind them. 
",423,2984
4," 
 
 
iv 
ACKNOWLEDGMENTS 
 
 
First and foremost, I would like to express my gratitude to two of my doctoral supervisors, 
Dr. Dave Lisik and Dr. Dave Wilson, who are overwhelmingly supportive of me. Without 
them, this research project would not have been possible. Dr. Lisik’s compositional guidance 
has greatly transformed how I think of composing jazz orchestra music from a decent quality 
to a professional one. His methodologies of jazz orchestra music productions have given me 
outstanding knowledge and effective strategies for producing high-quality jazz orchestra 
music, which have significantly benefited me as a jazz composer.  
 
I am also thankful for Dr. Wilson for guiding me and spending time on my research 
component. His mentorship encouraged me to step beyond my comfort zone as a jazz 
performer and embark on a journey as an academic researcher. His advice has also been 
tremendously helpful in my doctoral studies and has assisted me to discover my role as a jazz 
composer. In the preparation of this dissertation, his editorial assistance is also immensely 
appreciated. It was an honor to be a doctoral student of both Dr. Lisik and Dr. Wilson  
in Wellington, New Zealand. 
Second, I would like to express my sincere gratitude to my PhD examination committee, 
which included Associate Professor Michael Norris, Professor Dr. Deborah Wong, and 
Professor Dr. Jack Cooper for reviewing both my creative outcomes and research 
component, as well as providing invaluable feedback and suggestions. In addition, I would 
like to express my heartfelt thanks to my previous jazz instructors at the University of New 
Orleans, particularly Professor Steve Masakowski, Edward Petersen, and Associate Professor 
Victor Atkins, who have always supported me in pursuing my academic goals in music and 
spent time completing letters of recommendation for both my portfolios and PhD 
applications in the past.  Additionally, I would like to express my appreciation to two 
interviewees, Khru Somnuek Saengarun and Professor Perico Sambeat, for giving their 
valuable time to share their musical expertise in this research project. 
I would like to convey my gratefulness to Assistant Professor Wootichai Lertsatakit and 
Associate Professor Dr. Saksri Vongtaradon for allowing me to take the first steps toward a 
career as a jazz instructor at the Faculty of Music, Silpakorn University, and to teach bass, 
jazz composition and arranging, and university big-band class. This opportunity was a 
",385,2516
5," 
 
 
v 
significant step forward in my academic career, and it motivated my ambition to one day 
become a professional jazz instructor. 
 
Finally, I would like to express my special thanks to all my friends, both musicians and non-
musicians, in Thailand, New Orleans, and Dallas, as well as my Victoria University of 
Wellington PhD fellowships and the Thai community in Wellington, who sincerely believed 
in my passion for music and encouraged me to pursue my dream as a musician. Their love 
and support mean a whole lot to me. And, importantly, I would like to wholeheartedly thank 
my father, mother, sister, aunt, and all my family members for whom I cannot find words to 
express my deepest gratitude. Your love and care mean everything to me, and I owe 
everything I have to you all. I’m so lucky to be part of our family. 
",144,835
6,"vi 
 
TABLE OF CONTENTS 
ABSTRACT 
iii 
ACKNOWLEDGEMENTS 
iv 
TABLE OF CONTENTS 
vi 
TABLE OF FIGURES 
ix 
NOTE ON TRANSLITERATION 
xiv 
 
CHAPTER 1: INTRODUCTION   
1         
1.1 THE PURPOSE OF STUDY                                                                                                                        1                   
1.2 HISTORICAL PRECEDENTS FOR CROSS-CULTURAL JAZZ COMPOSITIONS                         2    
1.3 RESEARCH METHODOLOGY                                                                                                                 5 
1.4 CREATIVE PROCESS 
8  
1.5 THESIS STRUCTURE   
9 
1.6 KEY TERMS   
12 
1.7 PERSONAL STATEMENT   
14 
CHAPER 2: CROSS-CULTURAL PERSPECTIVES IN JAZZ: A REVIEW OF 
RELATED LITERATURE 
17 
2.1 INTRODUCTION   
17 
2.2 A REVIEW OF CROSS-CULTURAL JAZZ ORCHESTRA LITERATURE 
18 
2.3 A CASE STUDY OF CROSS-CULTURAL JAZZ PROJECTS IN ASIA 
23 
2.4 A SURVEY OF CROSS-CULTURAL COMPOSITION STUDIES IN THAILAND 
25 
2.5 AN OVERVIEW OF RELATED THAI MUSIC STUDIES 
31 
2.6 SUMMARY AND CONCLUSION 
35 
 
CHAPER 3: IDENTIFYING MUSICAL ELEMENTS OF DONTRI THAI 
DOEM (THAI CLASSICAL MUSIC) 
38 
3.1 INTRODUCTION                                                                                                                                      38 
3.2 COSMOPOLITAN MUSICAL CULTURES IN SIAMESE KINGDOMS (CA. 1200–YEAR)                    
SIAMESE KINGDOM  
39 
MUSICAL TRANSCULTURATION  
41 
THE MODERN THAI NATION                                                                                                                       43 
3.2 THAI CLASSICAL MUSIC (DONTRI THAI DOEM) 
 
PITCH AND THAI MELODIC PATTERNS                                                                                                     45 
TEXTURE                                                                                                                                                           54 
RHYTHM AND METER                                                                                                                                    59 
",172,2095
7," 
TABLE OF CONTENTS 
 
 
vii 
COMPOSITIONAL TECHNIQUES                                                                                                                  66 
3.3 PRELIMINARY COMPOSITIONS                                                                                                         75    
3.4 SACRED CEREMONIES                                                                                                                          77 
3.5 SUMMARY AND CONCLUSION 
79 
CHAPTER 4: INVESTIGATING THE MUSICAL ASPECTS OF DONTRI ISAN 
NUEA (TRADITIONAL MUSIC OF NORTHEAST THAILAND) 
80 
4.1 INTRODUCTION                                                                                                                                      80 
4.2 PITCH AND INSTRUMENTS 
 
KHAEN  
82 
PHIN 
84 
PONG LANG                                                                                                                                                      86 
KLONG HANG (LONG TAIL DRUMS) AND MISCELLANEOUS                                                               89 
4.3 MUSICAL ELEMENTS 
 
LAI                                                                                                                                                                       90 
A KHAEN SOLO TRANSCRIPTION OF “LAI TEAY KLONG” PERFORMED BY 
SOMBAT SIMLAH                                                                                                                                              96 
4.4 PRELIMINARY COMPOSITIONS                                                                                                       100 
4.5 MAWLUM                                                                                                                                                 105 
4.6 SUMMARY AND CONCLUSION                                                                                                         107                            
CHAPTER 5: EXAMINING THE MUSICAL FEATURE OF DONTRI PAKTAI 
(TRADITIONAL MUSIC OF SOUTHERN THAILAND) 
109 
5.1 INTRODUCTION                                                                                                                                    109 
5.2 NORA 
110 
PI NORA                                                                                                                                                            111 
KHUEN HUA PI TECHNIQUE                                                                                                                      112 
THAP                                                                                                                                                                  114 
KLONG, MONG, AND CHING 
115 
NORA REPERTOIRES AND PERFORMANCE METHODS 
118 
5.3 A PROTOTYPE COMPOSITION 
123 
5.4 RONG NGENG                                                                                                                                        125 
MUSICAL INSTRUMENTS AND TEXTURE                                                                                                 128 
RHYTHMIC PATTERNS                                                                                                                                  130 
RONG NGENG COMPOSITIONS                                                                                                                 134 
5.5 A PROTOTYPE COMPOSITION                                                                                                         137 
5.6 SUMMARY AND CONCLUSION                                                                                                         139              
 
 
CHAPTER 6: EXPLORING THE MUSICAL COMPONENTS OF DONTRI 
PAKNUEA (TRADITIONAL MUSIC OF NORTHERN THAILAND) 
141 
 
6.1 INTRODUCTION  
142 
6.2 MUSICAL INSTRUMENTS  
 
PI JUM                                                                                                                                                               143 
SALO                                                                                                                                                                 144 
SUENG                                                                                                                                                              145 
6.3 PERFORMANCE METHODS  
 
",192,4401
8," 
TABLE OF CONTENTS 
 
 
viii 
KHAP SAW                                                                                                                                                       146 
SALO PIN                                                                                                                                                          152 
6.4 PRELIMINARY COMPOSITIONS                                                                                                       155 
6.5 SUMMARY AND CONCLUSION                                                                                                         158                              
CHAPTER 7: JAZZ ORCHESTRA PORTRAITS OF THAILAND 
160 
7.1 INTRODUCTION                                                                                                                                    160 
7.2 COMPOSITIONS INSPIRED BY THAI CLASSICAL MUSIC 
“BUANG-SUANG” (“DEITY WORSHIP”) 
162 
 “PHUEN BAN” (“VILLAGE SONG”)                                                                                                          171 
“SAMNIANG JIN” (“PORCELAIN”)                                                                                                                   178 
“PATCHIM”(“EPILOGUE”)                                                                                                                          185 
7.3 COMPOSITIONS INSPIRED BY DONTRI ISAN NUEA 
 “MEKONG” (“RIVER OF SOULS”)                                                                                                            192 
7.4 COMPOSITIONS INSPIRED BY DONTRI PAKTAI 
“SINGORA” (“DANCE OF KINNARI”)                                                                                                     215 
7.5 COMPOSITIONS INSPIRED BY DONTRI PAKNUEA                                                                   
“WIANG HAENG” (“THE NORTHERN RHAPSODY)                                                                             239 
7.6 CONCLUSION                                                                                                                                         259 
 
CHAPTER 8 CONCLUSION 
262 
8.1 ARTISTIC EXPERIENCES                                                                                                                    262 
8.2 DEFINING AN ARTISTIC POSITION                                                                                               266 
8.3 FUTURE WORK AND CONCLUSION                                                                                               268 
BIBLIOGRAPHY 
270 
APPENDIX A: LEADSHEETS OF PRELIMINARY WORKS AND     
TRANSCRIPTIONS 
279 
APPENDIX B: INTERVIEWS  
303 
APPENDIX C: TRANSCRIPTION MIDI RECORDINGS 
312 
APPENDIX D: SCORES OF JAZZ ORCHESTRA PORTRAITS OF THAILAND
 
315 
",141,2824
9,"ix 
 
TABLE OF FIGURES 
 
 
Figure 3.1: “Rabam Sukhothai.”                                                                                   50 
Figure 3.2: “Soi Sang Dang.”                                                                                        50 
Figure 3.3: “Lao Somdej.”                                                                                             51 
Figure 3.4: “Saen Kham Nung.”                                                                                   51 
Figure 3.5: A collection of specific melodic patterns                                                   52      
Figure 3.6: “A Siamese Medley.”                                                                                  54 
Figure 3.7: Plae thamnong techniques.                                                                        57 
Figure 3.8: Plae thamnong techniques of thang ranad and pi nai.                            58                            
 Figure 3.9: Jangwa ching patterns.                                                                               61 
Figure 3.10: Nathap propkai.                                                                                        62 
Figure 3.11: Nathap song mai.                                                                                      64 
Figure 3.12: The adaption of nathap propkai sam chan to the drum set.                  64 
Figure 3.13: Electric bass part inspired by nathap song mai chan dio.                     65 
Figure 3.14. Rhythmic adaption of nathap song mai song chan                                65 
Figure 3.15: Rhythm of nathap propkai chan dio employed in the piano part.         66   
Figure 3.16: Melodic and rhythmic augmentation and diminution techniques.       68 
Figure 3.17: Thang plien (melodic variations).                                                            70 
Figure 3.18: Luk mot of “Khaek Toi Moh.”                                                                 71 
Figure 3.19: Luk yon, with target pitches circled in red.                                             71 
Figure 3.20: Wa Dok section of “Tao Kin Phak Bung.”                                             72 
Figure 3.21: A typical introduction of “Khmen Sai Yok” using thang kro.                72 
Figure 3.22. An example of luk lo                                                                                  73 
Figure 3.23: Example of luk kut.                                                                                   73 
Figure 3.24: Luk leuam technique in “Kluen Kratob Fung.”                                     74 
Figure 3.25: Arrangement of “Giant Steps” inspired by thao                                     75 
Figure 3.26: Thai compositional techniques employed in “Nanapa.”                      76 
 
Figure 4.1: Khaen paet’s fingering.                                                                                       83 
Figure 4.2: “Lai Ka Ten Kon.”                                                                                      85 
Figure 4.3: “Lai Kaeo Na Ma.”                                                                                     86 
Figure 4.4: pong lang tuning systems.                                                                         87 
Figure 4.5: Pong lang performance of “Lai Ka Ten Kon.”                                         89 
",271,3396
10," 
TABLE OF FIGURES 
 
 
x 
Figure 4.6: Lai thang yao and lai thang san.                                                               91 
Figure 4.7: Buahong Phajung’s performance of lai se.                                              93 
Figure 4.8: Bass improvisation of lai yai by the author.                                             95 
Figure 4.9: The A section of “Lai Teay Khong.”                                                        96 
Figure 4.10: The B section of “Lai Teay Khong.”                                                      97 
Figure 4.11: The C and D sections of “Lai Teay Khong.”                                         98 
 Figure 4.12: The E, F, G and H sections of “Lai Teay Khong.”                               99 
Figure 4.13: Arrangement of “Lai Lom Phat Phrao.”                                                101 
Figure 4.14: “Lai Nok Sai Bin Kham Thung’s arrangement.                                    103 
Figure 4.15: “Lai Teay Khong”’s arrangement.                                                         104 
 
Figure 5.1: Khuen hua pi technique.                                                                          114 
Figure 5.2: Four rhythmic patterns employed in nora performances.                     118 
 Figure 5.3: “Chak bai.”                                                                                                121 
Figure 5.4: “Sot Soi” pattern.                                                                                      121 
Figure 5.5: “Patcha.”                                                                                                   122 
Figure 5.6: “Manora.”                                                                                                  124 
Figure 5.7: Selection from “Oh Sa Loma.”                                                                 129 
Figure 5.8: Fundamental rhythmic patterns of rong ngeng tanyong.                      131 
Figure 5.9: Rhythmic pattern in southeastern rong ngeng performances.              133 
Figure 5.10: “Lenang.”                                                                                                 136 
Figure 5.11: “Lagu Dua.”                                                                                             136 
Figure 5.12: “Mutee-Yara.”                                                                                          138 
 
Figure 6.1: “Saw Eue.”                                                                                                 146 
Figure 6.2: “Thamnong ngiew.”                                                                                 148 
Figure 6.3: “Thamnong Japu.”                                                                                    150 
Figure 6.4: “Saw Dan Nan.”                                                                                        153 
Figure 6.5: “Saw Pan Fai.”                                                                                           155 
Figure 6.6: Saxophone soli inspired by pi jum.                                                          156 
Figure 6.7: “Phumin.”                                                                                                  157 
 
Figure 7.1. The A section of “Buang-Suang.”                                                           166 
",231,3354
