page,scale_type,match,context
2,modal,mode,"oring, we neither expect nor desire that every person or every society  should converge on a single mode of life. Whatever our obligations are to others (or theirs to us) they often  have the right to"
6,modal,MODE,NGDOMS (CA. 1200–YEAR)                     SIAMESE KINGDOM   39  MUSICAL TRANSCULTURATION   41  THE MODERN THAI NATION
7,lai,LAI                                                                                                                                                                       90,ELLANEOUS                                                               89  4.3 MUSICAL ELEMENTS    LAI
7,lai,LAI TEAY,90  A KHAEN SOLO TRANSCRIPTION OF “LAI TEAY KLONG” PERFORMED BY  SOMBAT SIMLAH
9,thai_mode,thang,57  Figure 3.8: Plae thamnong techniques of thang ranad and pi nai.                            58                              Figure 3.9: Jangw
9,thai_mode,Thang,Figure 3.16: Melodic and rhythmic augmentation and diminution techniques.       68  Figure 3.17: Thang plien (melodic variations).                                                            70  Fig
9,thai_mode,thang,72  Figure 3.21: A typical introduction of “Khmen Sai Yok” using thang kro.                72  Figure 3.22. An example of luk lo
9,lai,Lai Ka,83  Figure 4.2: “Lai Ka Ten Kon.”
9,lai,Lai Kaeo,85  Figure 4.3: “Lai Kaeo Na Ma.”
9,lai,Lai Ka,87  Figure 4.5: Pong lang performance of “Lai Ka Ten Kon.”                                         89
10,thai_mode,thang,TABLE OF FIGURES      x  Figure 4.6: Lai thang yao and lai thang san.                                                               91  Figur
10,thai_mode,thang,TABLE OF FIGURES      x  Figure 4.6: Lai thang yao and lai thang san.                                                               91  Figure 4.7: Buahong Pha
10,lai,Lai thang,TABLE OF FIGURES      x  Figure 4.6: Lai thang yao and lai thang san.                                                               91  F
10,lai,lai thang,TABLE OF FIGURES      x  Figure 4.6: Lai thang yao and lai thang san.                                                               91  Figure 4.7: Buahong
10,lai,lai se,91  Figure 4.7: Buahong Phajung’s performance of lai se.                                              93  Figure 4.8: Bass improvisation of lai yai b
10,lai,lai yai,mance of lai se.                                              93  Figure 4.8: Bass improvisation of lai yai by the author.                                             95  Figure 4.9: The A section of
10,lai,Lai Teay,ai yai by the author.                                             95  Figure 4.9: The A section of “Lai Teay Khong.”                                                        96  Figure 4.10: The B secti
10,lai,Lai Teay,y Khong.”                                                        96  Figure 4.10: The B section of “Lai Teay Khong.”                                                      97  Figure 4.11: The C and D s
10,lai,Lai Teay,"ng.”                                                      97  Figure 4.11: The C and D sections of “Lai Teay Khong.”                                         98   Figure 4.12: The E, F, G and H section"
10,lai,Lai Teay,"ay Khong.”                                         98   Figure 4.12: The E, F, G and H sections of “Lai Teay Khong.”                               99  Figure 4.13: Arrangement of “Lai Lom Phat Phrao.”"
10,lai,Lai Lom,and H sections of “Lai Teay Khong.”                               99  Figure 4.13: Arrangement of “Lai Lom Phat Phrao.”                                                101  Figure 4.14: “Lai Nok Sai B
10,lai,Lai Nok,angement of “Lai Lom Phat Phrao.”                                                101  Figure 4.14: “Lai Nok Sai Bin Kham Thung’s arrangement.                                    103  Figure 4.15: “Lai
10,lai,Lai Teay,4: “Lai Nok Sai Bin Kham Thung’s arrangement.                                    103  Figure 4.15: “Lai Teay Khong”’s arrangement.                                                         104    Figure
11,thai_mode,thang,an.”                                         174  Figure 7.8: Piano solo from “Phuen Ban” mimicking thang dio ranad ek.             175  Figure 7.9: Trumpet soli from “Phuen Ban.”
11,lai,Lai Teay,erformance                                                    199  Figure 7.23:  The adaptation of “Lai Teay Khong.”                                                  200   Figure 7.24: The melody of “
18,modal,mode,"rs to these research questions are based on my artistic experiences as a  Thai-jazz musician from a modern, middle-class Thai society where the clash between Western  ideologies and Thai beliefs is on"
21,modal,modal,"nt to copy it—not note for note of course,  but in his spirit. What bring me closest to Ravi is the modal aspect of his art. Currently, at the particular  stage I find myself in, I seem to be going th"
21,modal,modal,"pect of his art. Currently, at the particular  stage I find myself in, I seem to be going through a modal phase … There’s a lot of modal music that is  played every day throughout the world. It’s part"
