page,tuning,context
100,D-A-G,"ed the notion of the lai noi tuning system, which was founded in  Nong Kai Province and is tuned to D-A-G193—in contrast to Terry Miller’s study on lai noi,  from a different region where the instrume"
100,A-D-A,"trast to Terry Miller’s study on lai noi,  from a different region where the instrument is tuned to A-D-A.194     Based on my work with phin performers in 2016–2017 with the Faculty of Music, Silpakor"
100,E-A-E,gional tuning methods. These  systems are divided into three categories for a three-string phin: 1) E-A-E (the most widely- used); 2) E-A-A; and 3) E-B-E. There are four tuning categories for a two-st
100,E-A-A,ems are divided into three categories for a three-string phin: 1) E-A-E (the most widely- used); 2) E-A-A; and 3) E-B-E. There are four tuning categories for a two-string phin: 1) E-A;  2) E-B; 3) E-D
100,E-B-E,d into three categories for a three-string phin: 1) E-A-E (the most widely- used); 2) E-A-A; and 3) E-B-E. There are four tuning categories for a two-string phin: 1) E-A;  2) E-B; 3) E-D; and 4) E-E.
100,E-A,"t widely- used); 2) E-A-A; and 3) E-B-E. There are four tuning categories for a two-string phin: 1) E-A;  2) E-B; 3) E-D; and 4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-"
100,E-B,"used); 2) E-A-A; and 3) E-B-E. There are four tuning categories for a two-string phin: 1) E-A;  2) E-B; 3) E-D; and 4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E- B; 3)"
100,E-D,"2) E-A-A; and 3) E-B-E. There are four tuning categories for a two-string phin: 1) E-A;  2) E-B; 3) E-D; and 4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E- B; 3) A-E-A-E;"
100,E-E,"d 3) E-B-E. There are four tuning categories for a two-string phin: 1) E-A;  2) E-B; 3) E-D; and 4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E- B; 3) A-E-A-E; and 4) E-E-"
100,E-A-E-A,"string phin: 1) E-A;  2) E-B; 3) E-D; and 4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E- B; 3) A-E-A-E; and 4) E-E-A-A. (Please note that the first letter refers to the f"
100,E-A-E,"1) E-A;  2) E-B; 3) E-D; and 4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E- B; 3) A-E-A-E; and 4) E-E-A-A. (Please note that the first letter refers to the first string—"
100,A-E-A-E,"E-B; 3) E-D; and 4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E- B; 3) A-E-A-E; and 4) E-E-A-A. (Please note that the first letter refers to the first string—the  lowest p"
100,E-E-A-A,"4) E-E. Finally, four varieties of a four-string phin: 1) E-A-E-A; 2) E-A-E- B; 3) A-E-A-E; and 4) E-E-A-A. (Please note that the first letter refers to the first string—the  lowest pitch—while the s"
104,G-A-C-D,"answer for constructing  thematic melody parts (mm.3-8), melodic sequence (primarily built up from G-A-C-D in  mm.14-22 and A-G-E-D in mm.23-27), and repetition (D-E-G) in mm.28-36 (indicated by the"
104,A-G-E-D,"thematic melody parts (mm.3-8), melodic sequence (primarily built up from G-A-C-D in  mm.14-22 and A-G-E-D in mm.23-27), and repetition (D-E-G) in mm.28-36 (indicated by the  red arrows in Figure 4.5"
104,D-E-G,"ic sequence (primarily built up from G-A-C-D in  mm.14-22 and A-G-E-D in mm.23-27), and repetition (D-E-G) in mm.28-36 (indicated by the  red arrows in Figure 4.5).204"
109,E-G,"minor pentatonic scale, in which  the intervallic patterns predominantly build up from E, such as, E-G, E-A, and E-B, and play  an important role in generating melodic lines from a horizontal viewpoi"
109,E-A,"r pentatonic scale, in which  the intervallic patterns predominantly build up from E, such as, E-G, E-A, and E-B, and play  an important role in generating melodic lines from a horizontal viewpoint."
109,E-B,"nic scale, in which  the intervallic patterns predominantly build up from E, such as, E-G, E-A, and E-B, and play  an important role in generating melodic lines from a horizontal viewpoint."
110,A-G-E,"94  To intertwine musical ideas together, Buahong also uses several sixteenth-note motifs, such as  A-G-E, which can be observed in mm.9-11 and m. 23. In addition, he plays staccato quarter  notes on"
114,F-A♭,"mprovisations by using intervallic patterns. These intervallic patterns of this section,  primarily F-A♭, and F-B♭ are constructed on a B♭ minor pentatonic scale (mm.93-99), but with  less rhythmic in"
114,F-B♭,"ons by using intervallic patterns. These intervallic patterns of this section,  primarily F-A♭, and F-B♭ are constructed on a B♭ minor pentatonic scale (mm.93-99), but with  less rhythmic intensity co"
139,G-A-C-D-E,"thod of jazz analysis of Chapter 3, the fundamental patterns of this composition are also  based on G-A-C-D-E (5-6-1-2-3) and E-G-A-C (3-5-6-1), both of which can be found in  several locations throug"
139,E-G-A-C,"hapter 3, the fundamental patterns of this composition are also  based on G-A-C-D-E (5-6-1-2-3) and E-G-A-C (3-5-6-1), both of which can be found in  several locations throughout the performance. Furt"
139,C-C,"e up of a combination of several short motifs in quarter-note rhythms, and the repetition,  such as C-C, D-D-, E-E, and G-G can be utilized to intertwine its musical phrases together.    5.3 A PROTOTY"
139,D-D,"of a combination of several short motifs in quarter-note rhythms, and the repetition,  such as C-C, D-D-, E-E, and G-G can be utilized to intertwine its musical phrases together.    5.3 A PROTOTYPE CO"
139,E-E,"ombination of several short motifs in quarter-note rhythms, and the repetition,  such as C-C, D-D-, E-E, and G-G can be utilized to intertwine its musical phrases together.    5.3 A PROTOTYPE COMPOSIT"
139,G-G,"n of several short motifs in quarter-note rhythms, and the repetition,  such as C-C, D-D-, E-E, and G-G can be utilized to intertwine its musical phrases together.    5.3 A PROTOTYPE COMPOSITION    By"
159,D-E-F-G-A-B-C,"ries based on the size of  instruments, namely: 1) the pi koy system (in C), which starts from C(4)-D-E-F-G-A-B-C­                                                           280 Pornprasit, The perform"
160,A-B-C-D-E-F-G,"ontri paknuea      144  (within one octave); 2) the pi klang system (in C),  which starts from G(3)-A-B-C-D-E-F-G­;  3) the pi lek system (in C), which is produced from G(4)-A-B-C-D-E-F-G­; 4) the pi"
160,A-B-C-D-E-F-G,",  which starts from G(3)-A-B-C-D-E-F-G­;  3) the pi lek system (in C), which is produced from G(4)-A-B-C-D-E-F-G­; 4) the pi mae in C,  which is constructed from D(3)-E-F-G-A-B-C (only six holes, and"
160,E-F-G-A-B-C,"C), which is produced from G(4)-A-B-C-D-E-F-G­; 4) the pi mae in C,  which is constructed from D(3)-E-F-G-A-B-C (only six holes, and hence rarely used); and 5)  the pi tat system (in C), starting from"
160,D-E-F-G-A-B-C,"A-B-C (only six holes, and hence rarely used); and 5)  the pi tat system (in C), starting from C(5)-D-E-F-G-A-B-C­.      When creating sound on pi jum instruments, pi jum players (chang pi in Lanna di"
164,A-A,"tern was in a scale resembling A natural minor. The utilization  of repetitive notes—in particular, A-A, and D-D (in the red circles)—can also be frequently  observed in this transcription. Repetitive"
164,D-D,"in a scale resembling A natural minor. The utilization  of repetitive notes—in particular, A-A, and D-D (in the red circles)—can also be frequently  observed in this transcription. Repetitive interval"
164,G-E,"etitive interval patterns are also frequently constructed in  downward minor-third intervals (e.g., G-E, C-A), upward minor-third intervals (e.g., A-C, E-"
164,C-A,"ve interval patterns are also frequently constructed in  downward minor-third intervals (e.g., G-E, C-A), upward minor-third intervals (e.g., A-C, E-"
164,A-C,"onstructed in  downward minor-third intervals (e.g., G-E, C-A), upward minor-third intervals (e.g., A-C, E-                                                          290 Figure 6.2 was transcribed from"
165,A-B,"ing the Musical Components of dontri paknuea      149  G), and upward major-second intervals (e.g., A-B, G-A, D-E). These patterns help to create  the intervallic characteristics of this composition’s"
165,G-A,"he Musical Components of dontri paknuea      149  G), and upward major-second intervals (e.g., A-B, G-A, D-E). These patterns help to create  the intervallic characteristics of this composition’s melo"
165,D-E,"sical Components of dontri paknuea      149  G), and upward major-second intervals (e.g., A-B, G-A, D-E). These patterns help to create  the intervallic characteristics of this composition’s melodic m"
179,A-G,"n of this composition is nine minutes and fifty-seven  seconds, which is represented by the letters A-G in the graphic below.    A – C section     0.00-1.43  (A section)  1.44-2.51  (B section)  2.52-"
